# Title: zh
# Language: zh (prob: 1.00)
# Duration: 860.4s
# Transcription time: 1.0s

# === Full text ===
﹐白色恐怖，政治受難者，1945年,日本戰敗投降,國民政府接收台灣。不久,國共內戰爆發,1949年,國軍節節敗退。政府為鞏固政權,發布台灣省戒嚴令,懲治叛亂條例,刊亂時期減速匪諜條例等相關法案,鎮壓異己,造成許多家庭的悲劇,高壓統治長達四十餘年,稱為白色恐怖時期。白色恐怖時期的政治案件,1950年代,多涉及中國共產黨台灣省工作委員會相關活動,即台灣民主自治同盟案件。1960年代以後,則已涉及台獨活動居多。由於政治檔案未完全公開,白色恐怖確實受害人數目前尚無官方確切說法。白色恐怖時期,不僅受難者及家屬受到傷害,更造成一般民眾對政治社會冷漠近生,影響極為深遠。今日,當我們為豐碩的民主成果感到光榮,卻常忘記過去長達四十多年的白色恐怖,有許多人遭受不人道的刑求、關押、審判,有人犧牲了性命,更多的青春遭受國家機器的侵害,至今傷口仍未愈合。我很想知道是誰殺了我的朋友。要理清真相,追究歷史的責任,這樣才能避免族群的對立達成社會的火箭。在受難者、家屬、學者及各界多年努力下,2018年3月15日,國家人權博物館成立,為台灣推動人權教育,落實人權普世價值,立下重要的里程碑。國家人權博物館是亞洲第一座結合歷史遺址,闡述威權統治、著商人權歷史的博物館,下轄兩組三中心,透過保存、維護、紀念、展示、研究、教育、推廣,重新拼集隱默在各個角落的政治受難故事,保存記憶受難場域,落實轉型正義的價值,成為台灣社會民主人權的觀景窗。人權博物館所管理的白色恐怖綠島紀念園區,白色恐怖景美紀念園區,分別層是人民記憶的監獄島與軍事審判場域,皆為威權統治時期,統治者大規模侵害人權事件的遺址,是具有教育意義的負面文化資產,也是見證台灣人權發展歷程的紀念地景。白色恐怖景美紀念園區,位於興典西畔,秀朗橋下,前身為國防部軍法學校。1967年之後,國防部軍法局、副判局、警備總部軍法處、看守所等機關先後遷入,對政治犯的威脅,不斷增加,看守所等機關先後遷入,對政治犯的關押,偵訊,起訴,審判,待兼執行都在此處進行,是白色恐怖威權時期國家機械運作的典型場域。目前園區保存完整的白色恐怖遺跡,包括景美看守所仁愛樓,第一法庭,軍事法庭。軍事法庭是收押、審訊、辯論,及宣判的場所,不過白色恐怖時期的這些法律程序都只圖具形式。當年名作家博洋,中廣廣播名人崔小平,流日醫生陳忠統,還有台南美國新聞處,台北花旗銀行的爆炸案,這些備受矚目的政治案件都在這裡秘密審判。1980年的美麗島大審在國際輿論壓力下才破天荒對外公開。長達九天的軍法大審是國際的第一法庭審理。1984年發生轟動國際的江南案,主導該案的國防部情報局局長汪希林,1985年被判無期徒刑,當局在營區的一個角落另外批鑒設備齊全的污涉,供汪希林等人服刑。其實只是形式上的軟禁。相較於特區,行美看守所,仁愛樓的生活就有天壤之別。1968年建造完成的仁愛樓是兩層樓的建築,圍牆上布滿鐵絲網,從壓區、放風區到外移區,政治犯的生活都在圍牆之內。壓區約占仁愛樓三分之一的空間,壓房有只觀一人的獨居房,為了防止政治犯自殘,獨居房四周牆壁還加裝了軟墊。除了獨居房,另外還有一層大廈,有建築工廠,有建築工廠,有建築工廠,有建築工廠,有建築工廠,有建築工廠,有建築工廠,除了獨居房,另外還有可觀三至四人的小壓房,以及可容六至十人的大壓房。當時女囚犯積壓在仁愛樓二樓左側的雙排密閉式囚房。在壓房的政治犯只有表現良好的,每次輪流放風15分鐘。長嬰景美多餘的天氣而取消。在壓人犯起訴後,每星期家屬可以探視一次,再允許隔著玻璃以電話用國語交談十分鐘。整個過程有特務監聽錄音,不准談論案情或看守所內部事情。對於政治犯家屬而言,他們替當事人承擔起外界誤解的眼光,也受到一句的疏離。雖然沒有被關,卻像在監獄外坐牢。第一次來的時候,是小學六年級,在我當時當家屬的時候,媽媽就會牽著我跟弟弟的手進來。然後媽媽先講話,媽媽講完以後,爸爸就用手指我一下就是換我。可是每一次我拿起電話,我就說不出話來了。想看到他,又怕看到他。他們可以申請到外役區工作。這裡與押區完全隔開,有福利社、醫務室、外役餐廳與圖書室。另外設有洗衣工廠、縫衣工廠、美工工廠等,是附設的營利單位。他們的工作就是把所有的工具全部運來。在1970年代,行美看守所曾發生多次政治犯名單外洩事件,以免被指控。在1970年代,行美看守所曾發生多次政治犯名單外洩事件。以免被指控。在1970年代,行美看守所曾發生多次政治犯名單外洩事件,引發國際人權組織關注與海內外輿論,令當時聲稱台灣沒有政治犯的政府當局產生莫大壓力。當時我在醫務室1969到1979,做外役醫生的時候,我就利用跟每一個人體檢的資料寫在我們的病歷上。比如說他是哪裡人幾歲,犯的是什麼罪,或者是大概的案情。那個時候我們大概有300多筆的資料,從外國的財財員去收衣服到外面去的難友。那麼這些資料在我們當時要傳到國外的時候就非常有幫助。在政治受難者的協助下,透過口述歷史,影像記錄,場景復原,舉辦展覽,導覽解說,讓參觀者站在歷史遺址上,想像過去在這裡經歷生活過的每個角色,進而共改,想像各個身份,立場,憲制與不由自主的情境。白色恐怖景美紀念園區,2018年5月18日正式掛牌成立,成為國內外重要的人權教育場域與平台。未來,國家人權博物館將以受難者的口述歷史個人史料為基礎,將每位受難者的白色恐怖境遇還原於歷史脈絡中,重新架構威權體制殘害人權的全貌,協助釐清歷史的真相,讓遭受不當判決的前輩們恢復應有的尊嚴與名譽,發揮博物館,促進社會多元溝通的使命,成為深化人權的基地。我希望我的小孩能夠平安健康地長大,我想以後當一個模特兒。退休後,我想環遊世界。雖然我85歲,我還想繼續念書。我希望我的小孩能夠平安健康地長大。

# === With timestamps ===
[0.0s - 6.0s] ﹐白色恐怖，政治受難者，
[450.0s - 453.0s] 獨居房四周牆壁還加裝了軟墊。
[470.0s - 473.0s] 除了獨居房,
[473.0s - 476.0s] 另外還有一層大廈,
[476.0s - 479.0s] 有建築工廠,
[479.0s - 482.0s] 有建築工廠,
[482.0s - 485.0s] 有建築工廠,
[485.0s - 488.0s] 有建築工廠,
[488.0s - 491.0s] 有建築工廠,
[491.0s - 494.0s] 有建築工廠,
[494.0s - 497.0s] 有建築工廠,
[497.0s - 500.0s] 除了獨居房,
[500.0s - 503.0s] 另外還有可觀三至四人的小壓房,
[503.0s - 506.0s] 以及可容六至十人的大壓房。
[508.0s - 511.0s] 當時女囚犯積壓在仁愛樓
[511.0s - 514.0s] 二樓左側的雙排密閉式囚房。
[516.0s - 519.0s] 在壓房的政治犯
[519.0s - 522.0s] 只有表現良好的,
[522.0s - 525.0s] 每次輪流放風15分鐘。
[525.0s - 528.0s] 長嬰景美多餘的天氣而取消。
[539.0s - 542.0s] 在壓人犯起訴後,
[542.0s - 545.0s] 每星期家屬可以探視一次,
[545.0s - 548.0s] 再允許隔著玻璃
[548.0s - 551.0s] 以電話用國語交談十分鐘。
[551.0s - 554.0s] 整個過程有特務監聽錄音,
[554.0s - 557.0s] 不准談論案情或看守所內部事情。
[560.0s - 563.0s] 對於政治犯家屬而言,
[563.0s - 566.0s] 他們替當事人承擔起外界誤解的眼光,
[566.0s - 569.0s] 也受到一句的疏離。
[569.0s - 572.0s] 雖然沒有被關,
[572.0s - 575.0s] 卻像在監獄外坐牢。
[575.0s - 578.0s] 第一次來的時候,
[578.0s - 581.0s] 是小學六年級,
[581.0s - 584.0s] 在我當時當家屬的時候,
[584.0s - 587.0s] 媽媽就會牽著我跟弟弟的手進來。
[587.0s - 590.0s] 然後媽媽先講話,
[590.0s - 593.0s] 媽媽講完以後,
[593.0s - 596.0s] 爸爸就用手指我一下就是換我。
[596.0s - 599.0s] 可是每一次我拿起電話,
[599.0s - 602.0s] 我就說不出話來了。
[602.0s - 605.0s] 想看到他,
[605.0s - 608.0s] 又怕看到他。
[608.0s - 611.0s] 他們可以申請到外役區工作。
[611.0s - 614.0s] 這裡與押區完全隔開,
[614.0s - 617.0s] 有福利社、醫務室、
[617.0s - 620.0s] 外役餐廳與圖書室。
[620.0s - 623.0s] 另外設有洗衣工廠、
[623.0s - 626.0s] 縫衣工廠、美工工廠等,
[626.0s - 629.0s] 是附設的營利單位。
[629.0s - 632.0s] 他們的工作就是把所有的工具
[632.0s - 635.0s] 全部運來。
[635.0s - 638.0s] 在1970年代,
[638.0s - 641.0s] 行美看守所曾發生
[641.0s - 644.0s] 多次政治犯名單外洩事件,
[644.0s - 647.0s] 以免被指控。
[647.0s - 650.0s] 在1970年代,
[650.0s - 653.0s] 行美看守所曾發生
[653.0s - 656.0s] 多次政治犯名單外洩事件。
[656.0s - 659.0s] 以免被指控。
[659.0s - 662.0s] 在1970年代,
[662.0s - 665.0s] 行美看守所曾發生
[665.0s - 668.0s] 多次政治犯名單外洩事件,
[668.0s - 671.0s] 引發國際人權組織關注
[671.0s - 674.0s] 與海內外輿論,
[674.0s - 677.0s] 令當時聲稱台灣沒有政治犯的
[677.0s - 680.0s] 政府當局產生莫大壓力。
[680.0s - 683.0s] 當時我在醫務室
[683.0s - 686.0s] 1969到1979,
[686.0s - 689.0s] 做外役醫生的時候,
[689.0s - 692.0s] 我就利用
[692.0s - 695.0s] 跟每一個人體檢的
[695.0s - 698.0s] 資料寫在
[698.0s - 701.0s] 我們的病歷上。
[701.0s - 704.0s] 比如說他是哪裡人幾歲,
[704.0s - 707.0s] 犯的是什麼罪,
[707.0s - 710.0s] 或者是大概的案情。
[710.0s - 713.0s] 那個時候我們大概有
[713.0s - 716.0s] 300多筆的資料,
[716.0s - 719.0s] 從外國的財財員
[719.0s - 722.0s] 去收衣服到外面去的難友。
[722.0s - 725.0s] 那麼這些資料
[725.0s - 728.0s] 在我們當時
[728.0s - 731.0s] 要傳到國外的時候
[731.0s - 734.0s] 就非常有幫助。
[734.0s - 737.0s] 在政治受難者的協助下,
[737.0s - 740.0s] 透過口述歷史,影像記錄,
[740.0s - 743.0s] 場景復原,
[743.0s - 746.0s] 舉辦展覽,導覽解說,
[746.0s - 749.0s] 讓參觀者站在歷史遺址上,
[749.0s - 752.0s] 想像過去在這裡經歷
[752.0s - 755.0s] 生活過的每個角色,
[755.0s - 758.0s] 進而共改,想像各個身份,
[758.0s - 761.0s] 立場,憲制與不由自主的情境。
[764.0s - 767.0s] 白色恐怖景美紀念園區,
[767.0s - 770.0s] 2018年5月18日正式掛牌成立,
[770.0s - 773.0s] 成為國內外重要的人權教育場域與平台。
[776.0s - 779.0s] 未來,國家人權博物館
[779.0s - 782.0s] 將以受難者的口述歷史
[782.0s - 785.0s] 個人史料為基礎,
[785.0s - 788.0s] 將每位受難者的白色恐怖境遇
[788.0s - 791.0s] 還原於歷史脈絡中,
[791.0s - 794.0s] 重新架構威權體制殘害人權的全貌,
[794.0s - 797.0s] 協助釐清歷史的真相,
[797.0s - 800.0s] 讓遭受不當判決的前輩們
[800.0s - 803.0s] 恢復應有的尊嚴與名譽,
[803.0s - 806.0s] 發揮博物館,
[806.0s - 809.0s] 促進社會多元溝通的使命,
[809.0s - 812.0s] 成為深化人權的基地。
[820.0s - 823.0s] 我希望我的小孩
[823.0s - 826.0s] 能夠平安健康地長大,
[826.0s - 829.0s] 我想以後當一個模特兒。
[836.0s - 839.0s] 退休後,我想環遊世界。
[841.0s - 843.0s] 雖然我85歲,
[843.0s - 845.0s] 我還想繼續念書。
[856.0s - 858.0s] 我希望我的小孩
[858.0s - 860.0s] 能夠平安健康地長大。
